Sample_DeskTF,Sample_Door,TSI_0.3_Desk,TSI_1_Desk,TSI_2.5_Desk,TSI_3_Desk,TSI_5_Desk,TSI_10_Desk,TSI_0.3_door,TSI_1_door,TSI_2.5_door,TSI_3_door,TSI_5_door,TSI_10_door,Notes,ACH,Ct_TF_Desk,Ct_TF_door,Ct_DIFF,TSI_0.3_DIFF,TSI_1_DIFF,TSI_2.5_DIFF,TSI_3_DIFF
H564,H565,5769.159090909091,517.6136363636364,63.13636363636363,111.54545454545455,79.79545454545455,25.068181818181817,6139.045454545455,524.8863636363636,65.61363636363636,111.0909090909091,94.20454545454545,27.431818181818183,Sitting-speaking,0,40,40,0,-369.88636363636397,-7.272727272727252,-2.4772727272727266,0.45454545454545325
H576,H577,5095.371428571429,335.77142857142854,34.34285714285714,51.042857142857144,31.34285714285714,8.057142857142857,5490.028571428571,342.0285714285714,36.385714285714286,62.142857142857146,53.42857142857143,14.528571428571428,Sitting,0,40,40,0,-394.6571428571424,-6.257142857142867,-2.0428571428571445,-11.100000000000001
H588,H589,42034.44,1942.44,208.88,328.96,226.92,62.32,36403.6,2543.16,304,538.28,476.72,132.68,Treadmill,0,40,40,0,5630.840000000004,-600.7199999999998,-95.12,-209.32
H602,H603,6100,224.8,19.4,39.6,23.6,6.6,7259.8,556.2,71.8,140.6,118.4,48.2,Speaktest,0,40,40,0,-1159.8000000000002,-331.40000000000003,-52.4,-101
H619,H620,5331.4,262.4166666666667,16.016666666666666,20.583333333333332,11.5,2.6,5415.683333333333,220.86666666666667,14.483333333333333,19.116666666666667,11.383333333333333,2.8,Sitting,0,40,40,0,-84.28333333333376,41.55000000000001,1.5333333333333332,1.466666666666665
H630,H632,5593.883333333333,382.1,35.35,52.8,26.966666666666665,4.65,5301.983333333334,341.5,31.566666666666666,48.583333333333336,30.716666666666665,6,Standing,0,40,40,0,291.89999999999964,40.60000000000002,3.783333333333335,4.2166666666666615
H642,H643,5539.333333333333,223.5,20.766666666666666,31.233333333333334,16.633333333333333,3.1,4901.066666666667,202.1,17.833333333333332,26.433333333333334,17.2,3.566666666666667,Sitting-quitely,0,40,40,0,638.2666666666664,21.400000000000006,2.9333333333333336,4.800000000000001
H653,H654,4185.2,204.3,18.266666666666666,25.933333333333334,14.6,3.1333333333333333,4137.4,178.26666666666668,15.433333333333334,23.033333333333335,15.266666666666667,2.5,Sitting-speaking,0,40,40,0,47.80000000000018,26.03333333333333,2.833333333333332,2.8999999999999986
H665,H666,5946,337.95,31.233333333333334,44.96666666666667,21.316666666666666,3.05,5434.316666666667,311.31666666666666,27.65,40.68333333333333,22.75,3.8333333333333335,Sitting-AC,0,40,40,0,511.6833333333334,26.633333333333326,3.5833333333333357,4.2833333333333385
H672,H673,13115,316,25,45,23,17,11288,348,33,49,46,19,Coughtest,0,40,40,0,1827,-32,-8,-4
H676,H677,19536.2,384,30.6,49.8,36,15.6,18337.8,1105.4,116.4,225,176,41.8,Speaktest,0,40,40,0,1198.4000000000015,-721.4000000000001,-85.80000000000001,-175.2
H693,H694,26957.916666666668,393.4166666666667,31.833333333333332,55.666666666666664,43.083333333333336,28.5,32236.083333333332,419.75,30.333333333333332,50.833333333333336,43,26.083333333333332,Treadmill,0,40,32.9,7.100000000000001,-5278.166666666664,-26.333333333333314,1.5,4.833333333333329
H704,H705,80352.3606557377,307.88524590163934,15.688524590163935,19.18032786885246,8.21311475409836,1.459016393442623,77561.29508196721,277.4918032786885,14.540983606557377,18.131147540983605,9.360655737704919,2.1147540983606556,Sitting,0,40,40,0,2791.0655737704947,30.39344262295083,1.1475409836065573,1.0491803278688536
H733,H734,15654,281,36,54,41,19,16109,336,39,61,70,15,Coughtest,0,40,40,0,-455,-55,-3,-7
H737,H738,24390.6,369,32.6,57,36.6,13.2,21645,315.4,26,44.8,36,10,Speaktest,0,40,40,0,2745.5999999999985,53.60000000000002,6.600000000000001,12.200000000000003
H754,H755,16896.166666666668,221.16666666666666,16.8,25.633333333333333,13.866666666666667,4.55,16819.833333333332,203.91666666666666,14.3,23.1,15.583333333333334,5.266666666666667,Sitting,0,31.46666666666667,40,-8.533333333333331,76.33333333333576,17.25,2.5,2.5333333333333314
H777,H778,152065.45,431.2,20.916666666666668,26.85,12.233333333333333,3.216666666666667,139550.25,363.68333333333334,18.916666666666668,25.516666666666666,13.85,3.4,Humidification,0,40,32.65,7.350000000000001,12515.200000000012,67.51666666666665,2,1.3333333333333357
H788,H789,263980.5084745763,494,18.10169491525424,18.83050847457627,7.305084745762712,1.6610169491525424,223562.38983050847,394.23728813559325,15.847457627118644,19.033898305084747,10.338983050847459,1.8644067796610169,Humidification,0,40,40,0,40418.118644067814,99.76271186440675,2.254237288135595,-0.2033898305084776
H799,H800,92943.78333333334,626.2,29.416666666666668,29.633333333333333,10.966666666666667,1.7166666666666666,89567.05,556.6333333333333,27.833333333333332,31.216666666666665,14.533333333333333,2.35,Dehumidification,0,33.2,40,-6.799999999999997,3376.733333333337,69.56666666666672,1.5833333333333357,-1.5833333333333321
H826,H827,3887.8,79.8,4,6.6,1.2,0,4650,82.2,4.2,4.8,1.4,0.4,Speaktest,0,40,40,0,-762.1999999999998,-2.4000000000000057,-0.20000000000000018,1.7999999999999998
H843,H844,7391.066666666667,187.21666666666667,19.966666666666665,28.883333333333333,15.833333333333334,9.016666666666667,9315.15,172.78333333333333,15.166666666666666,26.283333333333335,15.933333333333334,9.783333333333333,Sitting,0,29.049999999999997,32.95,-3.9000000000000057,-1924.083333333333,14.433333333333337,4.799999999999999,2.599999999999998
H854,H855,2633.133333333333,114.03333333333333,12.383333333333333,20.233333333333334,16.15,11.05,3401.0666666666666,108.26666666666667,10.75,18.25,14.95,9.816666666666666,Standing,0,29.6,31.85,-2.25,-767.9333333333334,5.766666666666666,1.6333333333333329,1.9833333333333343
H877,H878,2705.935483870968,135.2258064516129,16,26.451612903225808,23.193548387096776,16,3155.064516129032,130.5483870967742,14.580645161290322,24.35483870967742,21.870967741935484,15.806451612903226,Sitting-speaking,0,30.8,30.75,0.05000000000000071,-449.1290322580644,4.67741935483869,1.419354838709678,2.096774193548388
H889,H890,2184.7741935483873,149.74193548387098,16.85483870967742,30.419354838709676,26.306451612903224,19.580645161290324,2228.6451612903224,143.90322580645162,15.790322580645162,27.629032258064516,25.548387096774192,17.580645161290324,Sitting,0,30.7,31.95,-1.25,-43.87096774193515,5.838709677419359,1.064516129032258,2.79032258064516
H906,H907,7436,142,5,10,4,0,10992,127,3,11,2,0,Coughtest,0,33.699999999999996,40,-6.300000000000004,-3556,15,2,-1
H927,H928,2070.5454545454545,121.4090909090909,10.242424242424242,16.727272727272727,10.712121212121213,4.9393939393939394,2095.0454545454545,117.86363636363636,9.393939393939394,16.12121212121212,12.257575757575758,5.166666666666667,Sitting,0,32.45,40,-7.549999999999997,-24.5,3.5454545454545467,0.8484848484848477,0.6060606060606055
H985,H986,1721.5,90.4,6.5,6.3,3.8,1.2,2105.7,70.3,3.9,7,3.8,1.3,Speakloudlytest,0,40,40,0,-384.1999999999998,20.10000000000001,2.6,-0.7000000000000002
H1004,H1005,20,1,0,0,0,0,24,1,0,0,0,0,Coughtest,0,40,40,0,-4,0,0,0
H1008,H1009,2758,139.2,14.4,21,16.8,4.6,4169.8,176.2,16.6,24.6,18,6.8,Speaktest,0,33.35,40,-6.649999999999999,-1411.8000000000002,-37,-2.200000000000001,-3.6000000000000014
H1012,H1013,7397.6,204,13,9.2,5.2,0.2,7926.8,171,9.2,12.2,5.8,0.8,Speakloudlytest,0,40,40,0,-529.1999999999998,33,3.8000000000000007,-3
H1025,H1026,5022.322580645161,179.1290322580645,17.080645161290324,27.64516129032258,19.629032258064516,9.338709677419354,4432.854838709677,160.61290322580646,15.306451612903226,25.080645161290324,20.20967741935484,9.935483870967742,Sitting,0,40,31.6,8.399999999999999,589.4677419354839,18.51612903225805,1.7741935483870979,2.5645161290322562
H1036,H1037,3780.05,157.28333333333333,11.616666666666667,18.366666666666667,12.133333333333333,6.533333333333333,3238.6666666666665,176.5,13.716666666666667,23.616666666666667,16.416666666666668,6.833333333333333,Dehumidification,0,33.55,32.53333333333333,1.0166666666666657,541.3833333333337,-19.21666666666667,-2.0999999999999996,-5.25
H1048,H1049,2636.8225806451615,221.3548387096774,16.693548387096776,24.5,15.370967741935484,5.354838709677419,2507.6290322580644,210.56451612903226,17.838709677419356,26.93548387096774,20.370967741935484,6.806451612903226,Dehumidification,0,32.05,40,-7.950000000000003,129.19354838709705,10.790322580645153,-1.14516129032258,-2.43548387096774
H1059,H1060,1829.8833333333334,188.28333333333333,17.266666666666666,25.1,15.7,5.15,1758.5,172.85,16.45,25.266666666666666,20.333333333333332,7.666666666666667,Humidification - AC,0,40,40,0,71.38333333333344,15.433333333333337,0.8166666666666664,-0.1666666666666643
H1089,H1090,9992.8,325.6,30.4,38.8,20,4.2,9992.8,325.6,30.4,38.8,20,4.2,Speaktest,0,40,40,0,0,0,0,0
H1106,H1107,15287.766666666666,449.26666666666665,38.13333333333333,60.18333333333333,38.93333333333333,10.483333333333333,16492.466666666667,449.78333333333336,37.3,58.833333333333336,42.45,12.266666666666667,Sitting,0,40,40,0,-1204.7000000000007,-0.5166666666667084,0.8333333333333357,1.3499999999999943
H1117,H1118,6264.5,231.95,20.066666666666666,33.916666666666664,23.316666666666666,8.316666666666666,6749.15,225.9,20.516666666666666,31.533333333333335,24.533333333333335,9.933333333333334,Standing,0,40,40,0,-484.64999999999964,6.049999999999983,-0.4499999999999993,2.3833333333333293
H1129,H1130,1737.8064516129032,131.09677419354838,17.870967741935484,28.193548387096776,23.161290322580644,13.225806451612904,1970.258064516129,127.03225806451613,14.774193548387096,26.225806451612904,22.096774193548388,13.709677419354838,Sitting-quitely,0,40,40,0,-232.45161290322585,4.064516129032256,3.096774193548388,1.9677419354838719
H1140,H1141,2326.1,292.6666666666667,37.266666666666666,66.6,48.333333333333336,14.7,2936.1,359.3,46.7,80.6,70.06666666666666,22.166666666666668,Sitting-speaking,0,34.349999999999994,40,-5.650000000000006,-610,-66.63333333333333,-9.433333333333337,-14
H1152,H1153,9347.386666666667,256.05333333333334,19.493333333333332,30.866666666666667,21.88,11.213333333333333,8685.68,222.52,16.533333333333335,26.826666666666668,20.92,11.386666666666667,Treadmill,0,40,40,0,661.7066666666669,33.53333333333333,2.9599999999999973,4.039999999999999
H1163,H1164,19221.822580645163,451.2258064516129,29.274193548387096,43.12903225806452,29.016129032258064,13.338709677419354,17070.467741935485,386.11290322580646,24.096774193548388,38.66129032258065,26.758064516129032,13.741935483870968,Sitting,0,40,40,0,2151.354838709678,65.11290322580646,5.177419354838708,4.467741935483872
H1169,H1170,7364,763,56,72,14.5,2,8588.5,858,57.5,50.5,25,1.5,Coughtest,0,40,34.9,5.100000000000001,-1224.5,-95,-1.5,21.5
H1173,H1174,5965.4,659,57.8,56,16,1.8,8062.2,815.6,58.4,67.6,25.4,2,Speaktest,0,40,40,0,-2096.8,-156.60000000000002,-0.6000000000000014,-11.599999999999994
H1190,H1191,9181.066666666668,684.7166666666667,48.11666666666667,53.8,20,6.116666666666666,9656.333333333334,664.4666666666667,42.233333333333334,51.38333333333333,24.983333333333334,7.166666666666667,Sitting,0,40,40,0,-475.2666666666664,20.25,5.883333333333333,2.4166666666666643
H1261,H1262,7822,224,23,30,22,6,11429,294,24,56,33,4,Coughtest,0,40,33.35,6.649999999999999,-3607,-70,-1,-26
H1265,H1266,9437.5,280.7,24.4,32.5,13.6,1.9,10101.9,280.4,21.9,30.4,15.5,1.1,Speaktest,0,40,40,0,-664.3999999999996,0.30000000000001137,2.5,2.1000000000000014
H1282,H1283,8486.666666666666,298.59420289855075,24.333333333333332,33.7536231884058,20.217391304347824,9.434782608695652,9006.565217391304,289.5507246376812,21.594202898550726,33.63768115942029,22.71014492753623,10.44927536231884,Sitting,0,40,40,0,-519.898550724638,9.043478260869563,2.7391304347826058,0.11594202898550776
H1293,H1294,8995.96875,314.53125,26.9375,41.578125,29.6875,17.828125,9324.765625,314.53125,24.640625,39.65625,31.390625,15.3125,Dehumidification,0,40,40,0,-328.796875,0,2.296875,1.921875
H1304,H1305,4446.266666666666,163.63333333333333,10.116666666666667,14.133333333333333,10.4,6.6,3846.1833333333334,165,10.666666666666666,16.383333333333333,13.8,6.966666666666667,Dehumidification,0,40,40,0,600.083333333333,-1.3666666666666742,-0.5499999999999989,-2.25
H1315,H1316,4872.2,229.88333333333333,13.966666666666667,18.566666666666666,11.583333333333334,6.166666666666667,4345.283333333334,229.85,15.116666666666667,22.733333333333334,16.066666666666666,7.2,Humidifcation,0,34.05,40,-5.950000000000003,526.9166666666661,0.03333333333333144,-1.1500000000000004,-4.166666666666668
