Sample,Pair,Ct_surface,Ct_nose,Location,Notes,ACH
R621,R618,40,16.833333333333332,Chair,Sitting,0
R644,R641,40,26.53333333333333,Chair,Sitting,0
R724,R732,40,29.450000000000003,Chair,Sitting,0
R801,R798,40,17,Chair,Sitting,0
R811,R808,40,19.700000000000003,Chair,Standing,0
R859,R856,40,23.633333333333336,Chair,Sitting,0
R925,R922,29.633333333333336,26.3,Chair,Sitting,0
H16,H13,31.25,16.200000000000003,Chair,Sitting,0
H27,H24,29.7,16.700000000000003,Chair,Standing,0
H62,H59,29.7,15.25,Chair,Sitting,0
H73,H59,30.9,15.25,Chair,Standing,0
H96,H93,28.95,15.700000000000001,Chair,Sitting,0
H193,H190,40,20.95,Chair,Sitting,0
H274,H271,30.45,22.9,Chair,Sitting,0
H285,H294,23.1,27.15,Chair,Standing,0
H331,H328,27.65,28.3,Chair,Sitting,0
H361,H357,28.15,31.15,Chair,Sitting,0
H441,H437,29.1,28.85,Chair,Sitting,0
H526,H522,40,40,Chair,Sitting,0
H537,H534,40,40,Chair,Standing,0
H572,H569,40,40,Chair,Sitting,0
H615,H611,40,40,Chair,Sitting,0
H626,H623,40,40,Chair,Standing,0
H850,H847,31.9,20.55,Chair,Standing,0
H885,H882,30.95,21.4,Chair,Sitting,0
H923,H919,32.05,25.9,Chair,Sitting,0
H934,H993,28.95,26,Chair,Sitting,0
H1021,H1017,29.9,29.8,Chair,Sitting,0
H1102,H1098,40,27.13333333333333,Chair,Sitting,0
H1113,H1110,40,26.75,Chair,Standing,0
H1186,H1182,28.75,28.6,Chair,Sitting,0
H1278,H1274,30.55,29.5,Chair,Sitting,0
