Location,Size,Mean
Near field,0.3-1,14865.973013587094
Near field,1-2.5,529.7678354578121
Near field,2.5-3,36.334160521089096
Near field,3-5,50.021368439744684
Near field,5-10,26.917108913933394
Near field,10-25,9.360757745201532
Far field,0.3-1,14592.678454309547
Far field,1-2.5,467.92991870148944
Far field,2.5-3,30.87536778467042
Far field,3-5,44.38558091812455
Far field,5-10,27.575862538628005
Far field,10-25,9.327184118742272
